CTRI_No,Public_Title,Type_of_Trial,Recruitment_Status,Health_Condition,Intervention_Name,Location
CTRI/2018/01/011644,"A clinical trial on effectiveness of complimentary Ayurvedic treatment to increase cancer free life in healthy women carrying BRCA 1/2 gene, which is highly responsible for cancer of breast and ovary.",Interventional,"Total: Not Applicable
Indian: Not Yet Recruiting",Health condition â€“Healthy women who are carriers of BRCA 1/2 genes. Problem studied â€“Preventing occurrence of cancer due to inherited susceptibility genes.,SBD/MKD/KK/PANCHAKARMA,"Cancer Genetics Clinic,MAHARASHTRA

Integrated Cancer Treatment and Research Centre,MAHARASHTRA"
CTRI/2018/01/011263,A study on the medications prescribed to children suffering from cancer for better cancer treatment in the future,Observational,"Total: Not Applicable
Indian: Not Yet Recruiting",Paediatric Cancers,,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2018/01/011325,PStudy with investigational drug PF-06463922 and comparator crizotinib in patients with a specific type of advanced lung cancer,Interventional,"Total: Closed to Recruitment of Participants
Indian: Closed to Recruitment of Participants",patients with advanced ALK positive non small cell lung cancer,Lorlatinib (PF 06463922),"Apollo Research and Innovations,ANDHRA PRADESH

Artemis Hospital,HARYANA

Manipal Hospitals,KARNATAKA

Sahyadri Clinical Research and Development Center,MAHARASHTRA

Sir Ganga Ram Hospital,DELHI

Srinivasam Cancer Care Hosptials India Pvt.Ltd,KARNATAKA"
CTRI/2018/06/014392,Study of Effectiveness and Safety of Canakinumab in Adult Subjects With early diagnosed Completely surgically removed Non-small Cell Lung Cancer,Interventional,"Total: Completed
Indian: Completed","completely resected (R0) non - small cell lung cancer (NSCLC)

Malignant neoplasm of lower respiratory tract, part unspecified",canakinumab 200 mg,"Asian Institute of Oncology Pvt. Ltd,MAHARASHTRA

HCG Manavata Cancer,MAHARASHTRA

Healthcare Global Enterprises Limited,,KARNATAKA

Mumbai Oncocare Centre ,MAHARASHTRA

Rajiv Gandhi Cancer Institute and Research Centre,DELHI

Tata Medical Center,WEST BENGAL

Tata Memorial Hospital,MAHARASHTRA"
CTRI/2018/02/011863,Effect of sedative drugs during breathing after surgery,Interventional,"Total: Not Applicable
Indian: Not Yet Recruiting",Postoperative patients after surgery for Head and Neck Cancers,Group II (Dexmedetomidine group),"AIIMS,DELHI"
CTRI/2018/08/015338,"A Non-interventional, multicentre study to see prevalence of BRCA1 and BRCA2 mutation among ovarian, primary peritoneal and fallopian tube cancer patients in India",Observational,"Total: Not Applicable
Indian: Completed","ovarian, primary peritoneal and fallopian tube cancer patients",,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2018/01/011637,Optimizing the Radiotherapy plan according to tumor shrinkage in Head and Neck Cancers-A Prilimenary Study,Interventional,"Total: Not Applicable
Indian: Not Yet Recruiting",Head and Neck Cancer patients who will be suitable for Radical Chemo-radiotherapy will be recruited for this study,ART arm,"All India Institute of Medical Sciences, New Delhi,DELHI"
CTRI/2018/01/011413,Visual Inspection after Application of Acetic Acid versus Pap smear in Cervical cancer screening,Observational,"Total: Not Applicable
Indian: Completed",Screening for Cervical Precancerous Lesions,NIL,"Tata Motors Hospital,JHARKHAND"
CTRI/2018/02/011710,A study to determine the UHRF1 gene expression in newly diagnosed breast cancer patients.,Observational,"Total: Not Applicable
Indian: Not Yet Recruiting",Newly diagnosed breast cancer patients,,"Kasturba Medical College and Kasturba Hospital,KARNATAKA"
CTRI/2018/02/011751,A study to compare two different modes of pain relief techniques (continuous delivery of Lidocaine (a pain killer) through the vein and epidural infusion(delivery of pain killer around the layers of spinal cord) in all patients undergoing keyhole surgery for colon cancer,Interventional,"Total: Not Applicable
Indian: Completed","colorectal cancer

Malignant neoplasm of rectosigmoidjunction",Lidocaine,"Christian Medical College Hospital, Vellore,TAMIL NADU"
CTRI/2018/02/011708,To compare the effectiveness of Compression pump with Multiple Layered Bandaging in swelling of Arm Developed after surgery of Breast Cancer patients.,Interventional,"Total: Not Applicable
Indian: Not Yet Recruiting",BREAST CANCER PATIENTS,INTERMITTENT PNEUMATIC COMPRESSION (IPC),"Advanced Centre for Treatment, Research and Education in Cancer,MAHARASHTRA"
CTRI/2018/05/014120,Comparison of two methods of block for upper abdominal cancer pain-Ultrasound versus image guided technique in terms of quality of life and pain scores,Interventional,"Total: Not Applicable
Indian: Not Yet Recruiting",Stage 4 upper abdominal cancer patients with pain and NRS more than 4,Ultrasound guided celiac plexus block,"DR BRA IRCH, AIIMS, Delhi,DELHI"
CTRI/2018/01/011566,Saliva characteristics in health and disease,Observational,"Total: Not Applicable
Indian: Not Yet Recruiting","(22 oral cancer, 22 potentially malignant lesions, 22 tobacco users and 22 controls)",,"Manipal College of Dental Sciences,KARNATAKA"
CTRI/2018/02/012123,Understanding spiritual and religious beliefs of cancer patients and their impact on coping,Observational,"Total: Not Applicable
Indian: Completed",Adult cancer patients referred to Psycho-oncology service,,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2018/01/011607,Relation between a germ called Helicobacter pylori and large gut cancers.,Observational,"Total: Not Applicable
Indian: Completed",Colorectal Cancers,Nil,"Jawaharlal Institute of Postgraduate Medical Education and Research,PONDICHERRY"
CTRI/2018/03/012422,In this trial we are assessing the safety and efficacy and any difference in treatment outcome â€œCombination of Chemotherapy and External Radiation Therapy with 3 weeky and weekly Cisplatin.,Interventional,"Total: Not Applicable
Indian: Closed to Recruitment of Participants",Locally advance Head and Neck Squamous Cell Carcinoma Cancer Patients,Radiotherapy with weekly Cisplatin,"DrBRA.Institute Rotary Cancer Hospital,All India Institute of Medical Sciences,DELHI"
CTRI/2018/02/011793,Use of axillary Ultrasound and FNAC in Breast Carcinoma,Observational,"Total: Not Applicable
Indian: Open to Recruitment",Breast Cancer,,"UP University of Medical Sciences,UTTAR PRADESH"
CTRI/2018/02/012113,A clinical trial to study the effect of an ayurvedic treatment schedule in patients with breast cancer,Interventional,"Total: Not Applicable
Indian: Not Yet Recruiting",Breast Cancer,Oral medications,"Arya Vaidya Sala Charitable Hospital,KERALA"
CTRI/2018/07/014736,To test if a A new investigation called Cardiopulmonary testing can be used as an early indicator of heart disease caused by chemotherapy in breast cancer patients and to compare the results with post operative recovery in patients proceeding for surgery without chemotherapy.,Observational,"Total: Not Applicable
Indian: Closed to Recruitment of Participants",Patients with breast cancer,,"All India Institute of Medical Sciences,DELHI"
CTRI/2018/06/014581,"Bioequivalence study of Capecitabine Tab 500mg of Qilu Pharmaceutical Co.Ltd,China in comparison with XELODAÂ® (Capecitabine) Tablets 500 mg, Distributed by Genentech USA, Inc.following a single oral dose administration in adult cancer patients",BA/BE,"Total: Not Applicable
Indian: Completed","adult cancer

Neoplasm of unspecified behavior of unspecified site","Capecitabine Tablets 500 mg of Qilu Pharmaceutical Co., Ltd, China","Baraskar Hospital and Research Center,,MAHARASHTRA

City Cancer Centre,ANDHRA PRADESH

Department of radiation of oncology,RAJASTHAN

Kailash Cancer Hopspital and Research Center,GUJARAT

KLES Dr.Prabhakar Kore hospital & medical research centre,KARNATAKA

MNJ Institute of oncology and Regional Cancer Center,ANDHRA PRADESH

Noble Hospital PVT LTD,MAHARASHTRA

PDE Aurved Rugnalaya, Sterling Multispeciality hospital,,MAHARASHTRA

Shettys hospital,,KARNATAKA

Unique Hospital, Multispeciality and Research Institute,,GUJARAT"
CTRI/2020/04/024901,To study the changes in quality of life of patients undergoing curative surgery for esophageal cancer and the factors related to it.,Observational,"Total: Not Applicable
Indian: Not Yet Recruiting","Esophageal Cancer

Malignant neoplasm of esophagus, unspecified",,"Regional Cancer Centre,KERALA"
CTRI/2018/02/011882,A clinical trial to study the safety and effectiveness of the first Indian dialysis machine.,Interventional,"Total: Not Applicable
Indian: Not Yet Recruiting",These patients have CKD stage V on normal intermittent haemodialysis. The subjects are atleast 21 years old with no history of cancer or recent surgeries and expected survival of atleast 6 months.,Renalyx RxT17 HD,"JSS Hospital,KARNATAKA"
CTRI/2018/12/016813,"Registry of anti-cancer treatment response prediction tool, CANscript, to understand its use in clinics and impact on the patient treatment outcome.",Observational,"Total: Not Applicable
Indian: Other (Terminated)",Solid cancer,,"HealthCare Global Enterprises Limited,,KARNATAKA"
CTRI/2018/02/011914,Study to examine the body response of Peg-filgrastim against NeulastaÂ® along with Chemical agent in Patients with Breast Cancer who will be selected in any order to a known treatment.,Interventional,"Total: Not Applicable
Indian: Completed","Breast Cancer

Malignant neoplasm of breast of unspecified site",Lupins Pegfilgrastim,"Aadhar health Institute,HARYANA

Apollo Gleneagles Hospitals,WEST BENGAL

Apple Hospital ,GUJARAT

ATRCTRI (RCC), S.P.medical College & AG Hospitals,RAJASTHAN

Bhakti Vedanta Hospital,MAHARASHTRA

City Cancer Center,ANDHRA PRADESH

Deenanath Mangeshkar Hospital & Rsearch Centre,MAHARASHTRA

Gleneagles Global Hospital,ANDHRA PRADESH

Government Medical College & Hospital,MAHARASHTRA

HCG Cancer Center,GUJARAT

HCG Manavata Cancer Centre,MAHARASHTRA

HCG NCHRI Cancer Centre,MAHARASHTRA

Institute of Post-Graduation Medical Education and Reserach,WEST BENGAL

Kailash Cancer Hospital & Research Center,GUJARAT

M S Patel Cancer Centre,GUJARAT

Nirmal Hospital Pvt. Ltd. ,GUJARAT

P.D.E.As Ayurved Rugnalay & Sterling Multispeciality Hospital,MAHARASHTRA

Shree Himalaya Cancer Hospital & Research Institute,GUJARAT

SV Hospital,KARNATAKA

VVMC & Safdarjung Hospital,DELHI"
CTRI/2018/03/012568,Validity of the Marathi version of the Hospital and Anxiety Depression Scale in cancer patients,Observational,"Total: Not Applicable
Indian: Completed",50 Adult cancer patients and 50 caregivers of cancer patients,,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2018/04/013218,Use of postoperative chemo or chemoradiotherapy combination in gall bladder cancer patients,Interventional,"Total: Open to Recruitment
Indian: Closed to Recruitment of Participants",Locally advance gall bladder cancer patients,Chemotherapy alone after surgery of gall bladder cancer,"DrBRA.Institute Rotary Cancer Hospital,AIIMS ,DELHI"
CTRI/2018/02/012089,Study of Quality of life in thyroid cancer patients.,Observational,"Total: Not Applicable
Indian: Completed",Patients with thyroid cancer,NIL,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2018/05/013754,Data collection of the patients receiving VivitraÂ® (Observational i.e. Non interventional),Observational,"Total: Not Applicable
Indian: Open to Recruitment",1. Metastatic breast cancer 2. Metastatic Gastric Cancer 3. Early Breast Cancer,,"All India Institute of Medical Sciences,DELHI

Anil Heroor Clinic,MAHARASHTRA

Apollo Hospital Kolkata,WEST BENGAL

Artemis Hospitals,HARYANA

BATRA HOSPITAL & MEDICAL RESEARCH CENTRE,DELHI

Bhagwan Mahavir Cancer Hospital & Research Centre,RAJASTHAN

Bhagwan Mahavir Cancer Hospital & Research Centre,RAJASTHAN

BND Centre,MAHARASHTRA

CMC Vellore,TAMIL NADU

Dr Ram Manohar Lohia Institute of Medical Sciences,UTTAR PRADESH

Fortis Hospital Mulund,MAHARASHTRA

Gupte Cancer Clinic,MAHARASHTRA

hcg speciality cancer center,TAMIL NADU

HCG, Bengalore,KARNATAKA

Kauvery Hospital,TAMIL NADU

M B Memorial Cancer Care Centre,TAMIL NADU

Malige Hospital,KARNATAKA

Medanta, medicicty,HARYANA

Medica Super specialty Hospital,WEST BENGAL

Narayana Hospital,GUJARAT

Omega Hospitals,ANDHRA PRADESH

Pragati Hospital,GUJARAT

Sakraworld Hospital,KARNATAKA

Shraddha Onco Care,GUJARAT

Sir Gangaram Hospital,DELHI

Spandana Clinic,KARNATAKA

TMC, Kolkata,WEST BENGAL

VHS Hospital,TAMIL NADU"
CTRI/2018/02/012116,"A study to find differences in filled forms of ""Patient Concerns Inventory"" in different countries.",Observational,"Total: Completed
Indian: Completed","Malignant neoplasms of lip, oral cavity and pharynx

Who have completed one year after cancer treatment in head and neck region and on follow up",,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2018/03/012342,EVALUATION OF HIV DISTRIBUTION IN DIFFERENT TISSUES,Observational,"Total: Completed
Indian: Completed","Healthy volunteers that are not cancerous or other condition currently receiving treatment

Patients that are diagnosed with HIV with reliable index such as detection of HIV in plasma (viral load in plasma), ELISA or Western blot",,"Asha Kirana Hospital ,KARNATAKA

KIMS (Krishna Institute of Medical Science),ANDHRA PRADESH

PVS Hospital ,KERALA"
CTRI/2018/10/015972,A study to compare Cipla product- Paclitaxel with Celgene Corporation product - ABRAXANEÂ® to establish that both are equally effective in treating metastatic breast cancer patients.,BA/BE,"Total: Not Applicable
Indian: Suspended","Breast cancer patients after failure of combination chemotherapy for metastatic disease or relapse within 6 months of adjuvant chemotherapy.

Malignant neoplasm of breast of unspecified site",Cipla Paclitaxel protein-bound particles for injectable suspension,"Baraskar Hospital and Research Center,MAHARASHTRA

CritiCare Hospital and Research Institute,MAHARASHTRA

Department of Radiation Therapy & Oncology,MAHARASHTRA

Gleneagles Global Hospitals,ANDHRA PRADESH

HCG City Cancer Center,ANDHRA PRADESH

HCG NCHRI Cancer Centre,MAHARASHTRA

Kailash Cancer Hopspital and Research Center,GUJARAT

KLES Dr. Prabhakar Kore Hospital & Medical Research Centre,KARNATAKA

Kolhapur Cancer Centre Pvt. Ltd,MAHARASHTRA

Lokmanya Holistic Cancer Care & Research Centre,MAHARASHTRA

Majumdar Show Medical Centre (Unit of Narayana Health),KARNATAKA

Navsanjeevani Hospital (Sankalp Speciality Healthcare Pvt Ltd),MAHARASHTRA

Noble Hospital Pvt Ltd,MAHARASHTRA

P.D.E.As Ayurved Rugnalaya & Sterling Multispeciality Hospital,MAHARASHTRA

Sardarmal Khandaka Memorial Hospital,RAJASTHAN

Sujan Surgical Cancer Hospital & Amravati Cancer Foundation,MAHARASHTRA

Unique Hospital-Multispeciality & Research Institute,GUJARAT"
CTRI/2018/02/012237,Evaluating the relationship between the nutritional status of cancer patients and cancer related tiredness.,Observational,"Total: Not Applicable
Indian: Completed",Cancer,NIL,"Mazumdar Shaw Medical Center,KARNATAKA"
CTRI/2018/03/012317,"A study to estimate improvement in quality of life, cost effectiveness of radiotherapy in patients of breast cancer with bone metastases.",Observational,"Total: Not Applicable
Indian: Open to Recruitment",Patients of breast cancer who have been newly diagnosed with bone metastases and who will be planned for palliative radiotherapy,,"Tata Memorial Hospital, Mumbai,MAHARASHTRA"
CTRI/2018/03/012566,Assessment of Dysphagia and Vocal cord function in Head and neck cancer patients recieving Radiotherapy.,Observational,"Total: Not Applicable
Indian: Open to Recruitment",Patients undergoing radiation therapy for head and neck cancer,,"Jawaharlal Institute Of Postgraduate Medical Education and Research , Puducherry,PONDICHERRY"
CTRI/2019/03/018258,Hyperbaric oxygen therapy in breast cancer patients,Interventional,"Total: Not Applicable
Indian: Completed","Breast cancer patients in Stage 2B

Malignant neoplasm of breast of unspecified site",HYPERBARIC OXYGEN THERPY TO BE GIVEN TO PATIENTS SUFFERING FROM BREAST CANCER ALONG WITH THEIR ROUTINE CHEMOTHERAPY REGIME,"Sir T hospital,GUJARAT"
CTRI/2018/03/012349,Post Marketing Study of Eribulin Mesylate in Patients with Breast Cancer,PMS,"Total: Not Applicable
Indian: Completed","Malignant neoplasm of breast of unspecified site

Patients with locally advanced or metastatic breast cancer, who have progressed after at least one regimens of chemotherapy which has included anthracycline and taxane therapy",Eribulin 1.23 mg (equivalent to Eribulin mesylate 1.4mg)/m2 IV infusion,"Ajanta Hospital & IVF Centre,UTTAR PRADESH

All India Institute of medical Sciences,ORISSA

Deep Hospital,PUNJAB

HCG NCHRI Cancer Center,KARNATAKA

HCG NCHRI Cancer Center,MAHARASHTRA

Hemato-Oncology Clinic Vedanta Institute of Medical Sciences,GUJARAT

IPGME&R,SSKM Hospital,WEST BENGAL

J.K.Cancer Institute,UTTAR PRADESH

King George Medical University, (Erstwhile Chhatrapati Shahuji Maharaj Medical University),UTTAR PRADESH

Lokmanya Holistic Cancer Care and Research Center of (LMRC),MAHARASHTRA

MNJ Institute of Oncology and Regional Cancer Center,ANDHRA PRADESH

Mysore Medical College and Research Institute ,KARNATAKA

Netaji Subhash chandra Bose Cancer Institute ,WEST BENGAL

Nilratan Sircar Medical College & Hospital,WEST BENGAL

R.K. Birla Cancer Center, SMS Hospital,RAJASTHAN

Sir Ganga Ram Hospital,DELHI

Srinivasam Cancer Care Multispecialty Hospitals India Pvt Ltd ,,KARNATAKA

Tata Memorial Hospital ,MAHARASHTRA"
CTRI/2018/03/012540,Audit on recording of spiritual concerns in adult advanced cancer patients,Observational,"Total: Not Applicable
Indian: Completed","Advanced cancer

Neoplasms",,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2018/03/012432,A study to assess the sexual functioning of patients with cancer of large intestine and their spouses.,Observational,"Total: Not Applicable
Indian: Not Yet Recruiting",Patients with colorectal cancer,Nil,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2018/03/012876,Effect of Various Drugs To Improve Pain Relief After Breast Cancer Surgery,Interventional,"Total: Not Applicable
Indian: Open to Recruitment",breast cancer,epidural injection of ropivacaine alone versus butorphanol or fentanyl as adjuvant to ropivacaine,"Sri Guru Ram Das Institute Of Medical Sciences And Research,PUNJAB"
CTRI/2018/05/014067,Study to evaluate effect of ayurvedic dhoompana therapy in patient with lung cancer.,Interventional,"Total: Not Applicable
Indian: Closed to Recruitment of Participants",Lung Cancer,Rasayana Therapy with Dhoomapana as an addon therapy,"Rasayu Cancer Clinics Pune ,MAHARASHTRA"
CTRI/2018/03/012791,To study clinical profile and outcome of lung cancer patients.,Observational,"Total: Not Applicable
Indian: Completed",LUNG CANCER,Chemotherapy,"SAFDARJUNG HOSPITAL,DELHI"
CTRI/2018/04/013072,Safety and bioavailability of Somal in Cancer,Observational,"Total: Not Applicable
Indian: Open to Recruitment",Bioavalibility studty of Arsenic Trioxide in cancer patients,Somal,"Rasayu Cancer Clinics Pune,MAHARASHTRA"
CTRI/2018/04/012964,Dhoomapana therapy for cancers.,Interventional,"Total: Not Applicable
Indian: Open to Recruitment",Head and Neck Cancer,Dhoompana as an add on with ayurvedic rasayana therapy,"Clinical Department Rasayu Cancer Clinics Pune ,MAHARASHTRA"
CTRI/2018/04/013243,Hypofractionated Radiotherapy in Locally Advanced Carcinomas of the Cervix,Interventional,"Total: Not Applicable
Indian: Completed",Patients of hitologically proven cervical cancer,Hypofractionated External Beam Radiotherapy,"Jawaharlal Institute of Postgraduate Medical Education and Research,PONDICHERRY"
CTRI/2018/03/012785,To compare the effect of additive(dexmedetomidine) to pain reducing drug(0.25% bupivacaine) in prolonging postoperative analgesia after injecting into diseased breast in breast cancer patients undergoing breast surgeries,Interventional,"Total: Not Applicable
Indian: Open to Recruitment",Age group between 18 to 70 years female patients belonging to ASAPS 1 or 2 undergoing modified radical mastectomy for breast cancer,Group B,"KASTURBA MEDICAL COLLEGE AND HOSPITAL,MANIPAL,KARNATAKA"
CTRI/2018/07/014783,Study of Durvalumab or Placebo Given along with Platinum-based Chemo-radiation Therapy in Patients with Locally Advanced where cancer cannot be removed completely through surgery for Non-small Cell Lung Cancer (Stage III),Interventional,"Total: Closed to Recruitment of Participants
Indian: Closed to Recruitment of Participants",Unresectable Non-small Cell Lung Cancer (Stage III),Durvalumab,"Action Cancer Hospital,DELHI

Apollo Speciality Hospital,TAMIL NADU

Artemis Hospital,HARYANA

Himalaya Cancer hospital & Research Institute,GUJARAT

Kokilaben Dhirubhai Ambani Hospital and Medical Research Institute,MAHARASHTRA

Manibhai Shivabhai Patel Cancer Centre,GUJARAT

Shatabdi Hospital,MAHARASHTRA

Shettys Hopital,KARNATAKA

Sri Venkateshwara Hospital,KARNATAKA"
CTRI/2018/03/012578,Details of patients with Hepatocellular cancer in various centre,Observational,"Total: Not Applicable
Indian: Not Yet Recruiting","Hepatocellular cancer

Liver cell carcinoma",,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2018/05/013961,pain relief after breast cancer surgery with blocks,Interventional,"Total: Not Applicable
Indian: Completed","Breast Cancer undergoing modified radical mastectomy

Malignant neoplasms of breast",erector spinae plane block,"AIIMS Jodhpur,RAJASTHAN"
CTRI/2018/04/012963,"This is a trial to study how the molecular classification of breast cancer patients relate to their modes of presentation, biological behavior and treatment outcome.",Observational,"Total: Not Applicable
Indian: Completed",Known cases of biopsy proven breast cancer in females.,NOT APPLICABLE,"Radiotherapy Department,WEST BENGAL"
CTRI/2018/03/012596,A study to detect the effect of operation related stress on urine filtration by kidneys in patient undergoing surgery for cancer and effect of increase in urine filtration on blood level of antibiotic drugs given during operation,Observational,"Total: Not Applicable
Indian: Not Yet Recruiting",Cancer patients undergoing surgeries which will last for more than 3hrs,Nil,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2018/06/014620,Safety and effectiveness study of ormeloxifene in breast cancer patients.,Interventional,"Total: Not Applicable
Indian: Other (Terminated)","Malignant neoplasm of breast of unspecified site

Tamoxifen resistant metastatic/recurrent breast cancer",Ormeloxifene 120 mg per day,"Maulana Azad Medical College,DELHI

Postgraduate Institute of Medical Education and Research ,CHANDIGARH

Sparsh Hospitals and Critical Care (P) Ltd.,ORISSA

Tata Memorial Center,MAHARASHTRA"
CTRI/2018/04/012920,To test the disease free survival (DFS) prediction ability of the OncoDiscover diagnostic technology â€“ a simple liquid biopsy blood test for cancer patients.,Observational,"Total: Not Applicable
Indian: Open to Recruitment","Quasi-metastatic patients (stage II & stage III) suffering from the breast, colo-rectal, cervical, ovarian, esophageal / stomach and loco-regional (oral, larynx, tongue, head & neck etc.) cancers",,"Deenanath Mangeshkar Hospital and Research Center (DMHRC),MAHARASHTRA"
CTRI/2018/03/012905,To test the number of Circulating Tumor Cells (CTC) captured by the OncoDiscover Liquid Biopsy in peripheral blood samples of Head and Neck cancer patients.,Observational,"Total: Not Applicable
Indian: Completed","Confirmed diagnosis of stage 2-4 Head and Neck Cancer

No prior history of cancer",,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2018/04/013215,Study Comparing Intensive Radiotherapy Versus Conventional ChemoRadiotherapy In Cervical Cancer,Interventional,"Total: Not Applicable
Indian: Not Yet Recruiting",Locally Advanced Cervical Cancer.,True accelerated radiation alone with reduced overall treatment duration to Conventional Concomitant Chemoradiation in Locally Advanced Carcinoma Cervix,"Calcutta Medical College,WEST BENGAL"
CTRI/2018/04/013295,Comparison of two doses of pregabalin for postoperative pain in patients undergoing surgery for breast cancer,Interventional,"Total: Not Applicable
Indian: Open to Recruitment",UNDERGOING SURGERY FOR BREAST CANCER,"Pregabalin 75mg group

Pregabalin 150mg group","Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi,DELHI"
CTRI/2018/04/013055,A study to evaluate the effect of compression garment and exercise on upper limb lymphedema in females with operated Breast Cancer.,Interventional,"Total: Not Applicable
Indian: Completed",Post mastectomy upper limb lymphedema in patients with Breast cancer,Compression garment plus exercises,"R.G.Kar Medical College and Hospital,WEST BENGAL"
CTRI/2018/04/013174,"A clinical trial to study the effects of two radiotherapy schedules, conventional and hypofractionated, following mastectomy operation in female breast cancer patients with locally advanced disease",Interventional,"Total: Not Applicable
Indian: Completed",Adjuvant Radiotherapy in Female Breast Cancer Patients,Hypofractionated Radiotherapy,"Dr. Bhubaneswar Borooah Cancer Institute,ASSAM"
CTRI/2019/02/017526,hearing evaluation in oropharyngeal cancer patients,Interventional,"Total: Not Applicable
Indian: Open to Recruitment","Malignant neoplasm of oropharynx,unspecified

oropharyngeal cancers",EBRT CONCURRENT CHEMOTHERAPY with IMRT,"PGIMER CHANDIGARH,CHANDIGARH"
CTRI/2018/06/014517,To study the effects of malnutrition on paediatric patients undergoing chemotherapy and regulating chemotherapy doses in such patients accordingly.,Observational,"Total: Not Applicable
Indian: Not Yet Recruiting",Pediatric patients aged 2-14 years with varying nutritional status and diagnosed with various cancers and on standard regimens.,,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2018/07/014948,Hypofractionated radiotherapy boost in prostate cancer,Interventional,"Total: Not Applicable
Indian: Completed",Prostate cancer,INTENSITY MODULATED RADIOTHERAPY (IMRT) FOLLOWED BY STEREOTACTIC BODY RADIOTHERAPY (SBRT) BOOST,"PGIMER,CHANDIGARH"
CTRI/2018/05/013927,Immusante tablets in management of Chemotherapy induced Neutropenia,Interventional,"Total: Not Applicable
Indian: Open to Recruitment",Cancer subjects with chemotherapy induced neutropenia,Immusante tablet,"IPGME&R & SSKM Hospital ,WEST BENGAL"
CTRI/2018/04/012994,Post Marketing Phase IV study to assess the Safety and Efficacy of Lenvatinib in Subjects with Thyroid Cancer.,Interventional,"Total: Not Applicable
Indian: Open to Recruitment",Thyroid Cancer,lenvatinib,"All India Institute of Medical Sciences,DELHI

All India Institute of Medical Sciences,ORISSA

ATRCTRI, S.P Medical College and AG of Hospital,RAJASTHAN

City Cancer Centre,ANDHRA PRADESH

Deenanath Mangeshkar Hospital & Research center,MAHARASHTRA

Dr. B.L.Kapur Memorial Hospital ,DELHI

Indraprastha Apollo Hospital,DELHI

Indrayani Hospital & Cancer Institute ,MAHARASHTRA

Regional Cancer Centre,KERALA

Shettys Hospital,KARNATAKA

Tata Memorial Centre,MAHARASHTRA"
CTRI/2019/02/017512,Effect oF Cognitive dysfunction on patients admitted in palliative care.,Observational,"Total: Not Applicable
Indian: Not Yet Recruiting","Disseminated malignant neoplasm, unspecified

Patients with advanced cancer admitted in palliative care unit.",,"Palliative Care Unit,Dr BRA IRCH AIIMS.,DELHI"
CTRI/2019/03/018136,forecasting capacity of Circulating Free DNA to assess treatment results in Patients with Oral Cancer,Observational,"Total: Not Applicable
Indian: Completed","Malignant neoplasm of mouth, unspecified

patients with oral cavity cancer",,"RML institute of medical sciences,UTTAR PRADESH"
CTRI/2018/07/014859,Effect of food on abiraterone in prostate cancer patients,BA/BE,"Total: Not Applicable
Indian: Completed","Malignant neoplasm of prostate

Metastatic castration resistant prostate cancer",Abiraterone,"All India Institute of Medical Sciences,DELHI"
CTRI/2018/04/013209,Short course palliative radiotherapy for symptom relief in large inoperable cancer of breast,Interventional,"Total: Closed to Recruitment of Participants
Indian: Closed to Recruitment of Participants",Advanced Incurable Breast Cancer in Female,Radiation,"Tata medical center,WEST BENGAL"
CTRI/2018/05/013553,"A prospective open label, randomized, multi-centre, parallel design, controlled study to evaluate the efficacy and safety of DNANOPAURONA to treating castration resistant prostate cancer",Interventional,"Total: Not Applicable
Indian: Other (Terminated)",castration resistant prostate cancer,Docetaxel Injection,"Dr Hair and Skin,KARNATAKA"
CTRI/2018/07/014938,Role of oral antibiotics in reducing the chance of infection after operations for cancer of the rectum,Interventional,"Total: Not Applicable
Indian: Open to Recruitment",Patients with rectal cancer,Oral antibiotic bowel preparation,"Christian Medical College, Vellore,TAMIL NADU"
CTRI/2018/04/013436,A study to evaluate the daily bowel activity and life quality after function preserving surgery in patient suffering from lower rectum/anus cancer at Tata Memorial Hospital Mumbai.,Observational,"Total: Not Applicable
Indian: Not Yet Recruiting",Low rectal cancer patients who have undergone sphincter preserving surgery,NIL,"Tata Memorial Hospital,MAHARASHTRA"
CTRI/2018/04/013517,"Learning the impacts of treatment, evaluating the state and well being of the patient after treatment for Head and Neck Cancer",Observational,"Total: Open to Recruitment
Indian: Open to Recruitment","Head and Neck Cancer

Malignant neoplasms of lip, oral cavity and pharynx

Malignant neoplasms of lip, oral cavity and pharynx",NIL,"Kasturba Medical College,KARNATAKA"
